year,tmID,confID,rank,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,d_fgm,d_fga,d_ftm,d_fta,d_3pa,d_oreb,d_dreb,d_asts,GP_x,homeW,homeL,awayW,awayL,confW,confL,stint_x,GP_y,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,stint_y,won_y,lost_y,post_wins,post_losses,TPI_Sum,winrate,roundsPlayed,o_blk,d_3pm,award_player,award_coach,playersAge,PlayOffNextYear
9,ATL,0,1.4344559271157586,0.0,0.7174258638953354,-0.0823002895070284,1.1181553588919528,0.616514184669793,0.621640979982789,0.926873857404022,0.8729666924864447,0.978386167146974,0.9849785407725322,0.4679210177797571,0.901123595505618,0.9142857142857144,1.0,1.0,-3.142062415166808,3.2769498072467416,-1.3288534728165609,1.4372218769627074,-2.5123614336358124,2.183272832628252,1.0,0.4848484848484848,-0.1806148319048605,0.1318327974276527,-0.2715506239172943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9423461754309044,0.2220948052817465,0.0,-1.9705319580807463,2.755994939372217,0.0,0.0,-2.036759750841434,-2.490858410225006,0.0,0.0,0.0,0.0,0.0,-0.923250094943965,1.0
10,ATL,0,-1.0315263227619076,1.0,0.8239876998760048,0.9575324018118974,-0.7152984421903091,0.8386253555777656,0.8176969813619763,0.9104204753199268,0.915182029434547,0.8991354466858789,0.8658798283261803,0.78746960486689,0.7932584269662922,0.8687830687830689,0.8991228070175438,1.0,0.643628034291684,-0.5346268193828341,-0.1842542795366489,0.3056117220965157,-0.153629382330496,0.413140376571351,0.0,1.0,1.306837776942812,0.7845659163987139,0.8372089226398061,0.0,0.1818181818181818,0.2,0.1764705882352941,0.2461538461538461,0.0416666666666666,0.0512820512820512,0.05,0.2571428571428571,0.0,0.0,0.1428571428571428,0.1724137931034483,0.1538461538461538,0.1860465116279069,0.3269230769230769,0.2857142857142857,0.25,0.4,0.0,0.7847988524347547,-2.001914070596132,0.0,0.4178935822836359,0.1084396751865885,0.0,0.4,0.9595736304696058,0.2287334719534619,0.3333333333333333,0.0,0.0,0.1666666666666666,1.0,-0.0642157159248525,
11,ATL,0,0.2014648021769256,1.0,0.6435606058109185,-0.5131510626352391,-0.8578419397709073,0.737765928236444,0.689175934604216,0.9186471663619744,0.8940743609604958,0.9387608069164264,0.9254291845493562,0.6276953113233236,0.8471910112359551,0.8915343915343916,0.9495614035087718,1.0,-1.249217190437562,1.371161493931954,-0.756553876176605,0.8714167995296116,-1.3329954079831543,1.2982066045998015,0.0,0.4545454545454546,-0.6358997559057641,0.0932475884244373,-0.6800409831751734,0.0,0.1212121212121212,0.0,0.0196078431372549,0.0,0.0,0.017094017094017,0.0111111111111111,0.0095238095238095,0.0,0.0,0.0119047619047619,0.0229885057471264,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,1.4325861754664937,0.3649520838919181,0.0,-0.7763191878985553,1.4322173072794029,0.0,0.2,-1.029489762647029,-1.1310624691357725,0.1666666666666666,0.0,0.0,0.0,0.0,-0.1591616209742782,
1,CHA,0,1.927652377091292,0.0,0.6458190250675606,-0.6110287766183465,-0.6170777028466166,0.6331206273545013,0.6025135652140878,0.803473491773309,0.7474825716498839,0.7680115273775215,0.7682403433476395,-0.4336624957875107,0.7325842696629215,0.7026455026455027,0.871345029239766,0.0,-1.765447706272811,1.544414976960571,-1.3288534728165609,1.0600184920073104,-1.627836914396319,1.5932286806092848,0.0,0.8484848484848485,-0.1551641218675429,0.1221864951768488,0.7496752742274034,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.664488039771797,0.2525259415537322,0.0,-1.28812466083378,1.6213283975783763,0.0,0.0,-1.4145179943391413,-1.6167038766676416,0.0,0.0,0.0,0.0,0.0,-0.1275129859578654,1.0
2,CHA,0,-0.045133422810841,1.0,0.6040766498267252,-1.0428237077592564,-0.2733051151436924,0.6414238486968554,0.6111209018600033,0.6691042047531993,0.7149496514329977,0.6210374639769453,0.6030042918454935,-1.049934770884124,0.7730337078651686,0.6000000000000001,0.6476608187134503,0.0,0.2994743570681847,-0.5346268193828341,0.1972787848899884,-0.4487950478142787,1.3205781497353268,-1.3569920794855497,0.0,0.5151515151515151,-0.9922096964282104,0.0192926045016077,-1.1177092252371867,0.0,0.1818181818181818,0.0,0.0242214532871972,0.0,0.0,0.0,0.0,0.0285714285714285,0.0833333333333333,0.0,0.0357142857142857,0.0344827586206896,0.0096153846153846,0.0,0.0,0.0,0.03125,0.0,0.0,-0.9938714243641996,-0.769664378915793,0.0,0.4178935822836359,-0.2697825054113584,0.5714285714285714,0.8,-0.3040557827350499,0.4472721053428029,1.0,0.0,0.0,0.0,0.0,0.0465545066329666,1.0
3,CHA,0,-1.0315263227619076,1.0,0.5796420887101384,-0.1704217040255814,0.4469803067100534,0.5604674406089027,0.5680842186304257,0.7111517367458866,0.6998450813323006,0.6397694524495677,0.6416309012875536,-1.0156974222676456,0.6629213483146068,0.6560846560846562,0.7149122807017544,0.0,0.2994743570681847,-0.5346268193828341,0.1972787848899884,-0.4487950478142787,0.4360536304958331,-0.4719258514570993,0.0,0.1818181818181818,-1.192987520055938,0.0112540192926045,-1.2344207564537235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.323254808956602,-0.652800362537941,0.0,0.4178935822836359,-0.2697825054113584,0.0,0.4,-0.1365291559844326,0.4472721053428029,0.3333333333333333,0.0,0.0,0.0,0.0,0.8852433345701528,1.0
4,CHA,0,-1.0315263227619076,1.0,0.6356379579356495,-0.5317195035516489,0.4551653683220277,0.7057738141000998,0.5996444529987827,0.7221206581352834,0.7366382649109218,0.6873198847262247,0.7156652360515021,-0.6162616884087295,0.8674157303370787,0.6571428571428571,0.7178362573099415,1.0,0.9877817115151832,-0.8811337854400683,-0.5657873439632862,0.6828151070519131,0.4360536304958331,0.413140376571351,0.0,1.0,0.0852036951515676,0.2009646302250803,1.2165213990935508,0.2,0.1818181818181818,0.1,0.1591695501730103,0.0538461538461538,0.125,0.1282051282051282,0.1333333333333333,0.1142857142857142,0.1666666666666666,0.0,0.1428571428571428,0.1379310344827586,0.0673076923076923,0.0697674418604651,0.0384615384615384,0.0238095238095238,0.0,0.0,0.0,-1.538851206144345,-0.7609231118679627,0.0,0.4178935822836359,0.1084396751865885,0.0,0.4,-0.3614934833352615,0.2287334719534619,0.3333333333333333,0.0,0.0,0.0,0.0,0.9255234155002348,0.0
5,CHA,0,0.4480630271646922,0.0,0.5918593692684319,-0.4964709377442276,-0.0195682051724864,0.5314061659106634,0.589124374875997,0.7312614259597806,0.7482571649883811,0.6311239193083573,0.6298283261802575,-1.2781837616606475,0.8269662921348315,0.6645502645502646,0.7543859649122806,1.0,-0.0446793201553145,0.1583871127316343,-0.1842542795366489,0.3056117220965157,-0.7433123951568251,0.413140376571351,0.0,0.3333333333333333,-1.0968403932482935,0.0144694533762057,-1.0009976940206498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1374746244239579,-0.0416417090754919,0.0,0.0766899336601527,0.4866618557845354,0.0,0.0,-1.1440821540131447,-0.159779654072034,0.0,0.0,0.0,0.0,0.0,0.1934945977809185,0.0
6,CHA,0,0.9412594771402256,0.0,0.649212714111531,-0.1968581283811473,-1.3128079398644392,0.6559544860459751,0.5824297797069515,0.7778793418647166,0.7312161115414408,0.7334293948126801,0.7650214592274678,-1.3923082570489094,0.7977528089887641,0.7407407407407408,0.7251461988304093,1.0,-1.765447706272811,1.8909219430178053,-2.0919196016698356,2.191628646873502,-1.9226784208094831,1.5932286806092848,0.0,0.9090909090909092,0.4160629256366963,0.1720257234726688,0.7788531570315376,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0304250244314276,0.1582211182108507,1.0,-2.141133782392488,-1.5935601375041728,0.0,0.0,-1.299642593138718,-2.1023452841995107,0.0,0.0,0.0,0.0,0.0,0.4065577299456453,0.0
7,CHI,0,1.4344559271157586,0.0,0.7381273670635545,-0.0294274407958965,0.610681538949541,0.7410625048051047,0.6503321021358408,0.8875685557586838,0.8315259488768397,0.7853025936599423,0.7896995708154506,0.8559443020998471,0.8516853932584271,0.91005291005291,0.9108187134502924,1.0,-2.4537550607198093,2.5839358751322736,-1.7103865372431983,1.8144252619181047,-1.9226784208094831,1.5932286806092848,0.0,0.4242424242424243,-0.5680311958062505,0.0771704180064308,-1.0009976940206498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476428155282452,-0.6042796063709404,0.0,-1.7999301337690048,2.5668838490732435,0.0,0.0,-1.2541710801635504,-2.296601847212259,0.0,0.0,0.0,0.0,0.0,-0.0768751699314551,0.0
