year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena
10,ATL,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena
1,CHA,CHA,EA,8.0,N,N,N,N,Charlotte Sting,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,8.0,24.0,32.0,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,Charlotte Coliseum
2,CHA,CHA,EA,4.0,Y,W,W,L,Charlotte Sting,746.0,1780.0,410.0,528.0,153.0,428.0,309.0,639.0,948.0,467.0,605.0,217.0,474.0,114.0,2055.0,732.0,1846.0,431.0,562.0,114.0,369.0,344.0,567.0,911.0,443.0,579.0,257.0,447.0,124.0,2009.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,6500.0,105525.0,Charlotte Coliseum
3,CHA,CHA,EA,2.0,Y,L,N,N,Charlotte Sting,770.0,1790.0,490.0,663.0,211.0,527.0,302.0,653.0,955.0,496.0,647.0,241.0,408.0,105.0,2241.0,778.0,1807.0,444.0,598.0,133.0,372.0,295.0,620.0,915.0,489.0,600.0,208.0,424.0,103.0,2133.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,12.0,9.0,6450.0,106670.0,Charlotte Coliseum
4,CHA,CHA,EA,2.0,Y,L,N,N,Charlotte Sting,787.0,1881.0,456.0,590.0,187.0,517.0,342.0,629.0,971.0,499.0,697.0,279.0,497.0,115.0,2217.0,790.0,1902.0,477.0,667.0,138.0,407.0,386.0,621.0,1007.0,491.0,606.0,264.0,469.0,104.0,2195.0,18.0,16.0,34.0,13.0,4.0,5.0,12.0,12.0,12.0,6850.0,120061.0,Charlotte Coliseum
5,CHA,CHA,EA,5.0,N,N,N,N,Charlotte Sting,745.0,1744.0,436.0,590.0,166.0,459.0,256.0,616.0,872.0,426.0,648.0,210.0,479.0,134.0,2092.0,800.0,1932.0,438.0,587.0,130.0,349.0,368.0,628.0,996.0,516.0,595.0,243.0,437.0,114.0,2168.0,16.0,18.0,34.0,10.0,7.0,6.0,11.0,8.0,12.0,6900.0,116383.0,Charlotte Coliseum
6,CHA,CHA,EA,6.0,N,N,N,N,Charlotte Sting,772.0,1913.0,447.0,624.0,104.0,301.0,316.0,609.0,925.0,493.0,727.0,284.0,535.0,113.0,2095.0,851.0,1888.0,509.0,713.0,124.0,339.0,355.0,700.0,1055.0,496.0,654.0,269.0,534.0,146.0,2335.0,6.0,28.0,34.0,5.0,12.0,1.0,16.0,4.0,16.0,6945.0,98054.0,Charlotte Coliseum
7,CHA,CHA,EA,6.0,N,N,N,N,Charlotte Sting,864.0,2178.0,552.0,777.0,176.0,544.0,347.0,747.0,1094.0,527.0,734.0,315.0,574.0,155.0,2456.0,911.0,2149.0,594.0,791.0,155.0,465.0,370.0,870.0,1240.0,522.0,707.0,286.0,619.0,125.0,2571.0,11.0,23.0,34.0,7.0,10.0,4.0,13.0,6.0,14.0,6825.0,106942.0,Time Warner Cable Arena
7,CHI,CHI,EA,7.0,N,N,N,N,Chicago Sky,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,5.0,29.0,34.0,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,UIC Pavilion
8,CHI,CHI,EA,6.0,N,N,N,N,Chicago Sky,925.0,2277.0,489.0,723.0,186.0,544.0,383.0,782.0,1165.0,597.0,634.0,262.0,510.0,112.0,2525.0,963.0,2243.0,501.0,642.0,184.0,481.0,379.0,846.0,1225.0,584.0,683.0,242.0,566.0,138.0,2611.0,14.0,20.0,34.0,6.0,11.0,8.0,9.0,6.0,14.0,6972.0,66557.0,UIC Pavilion
9,CHI,CHI,EA,5.0,N,N,N,N,Chicago Sky,899.0,2100.0,564.0,812.0,110.0,341.0,357.0,770.0,1127.0,548.0,639.0,269.0,525.0,149.0,2472.0,917.0,2203.0,506.0,655.0,170.0,508.0,366.0,794.0,1160.0,531.0,681.0,255.0,522.0,124.0,2510.0,12.0,22.0,34.0,8.0,9.0,4.0,13.0,10.0,10.0,6875.0,62146.0,UIC Pavilion
10,CHI,CHI,EA,5.0,N,N,N,N,Chicago Sky,930.0,2136.0,527.0,693.0,186.0,471.0,307.0,776.0,1083.0,532.0,605.0,249.0,532.0,138.0,2573.0,1004.0,2269.0,479.0,613.0,206.0,593.0,359.0,797.0,1156.0,610.0,636.0,273.0,489.0,121.0,2693.0,16.0,18.0,34.0,12.0,5.0,4.0,13.0,10.0,12.0,6825.0,66852.0,UIC Pavilion
1,CLE,CLE,EA,2.0,Y,W,L,N,Cleveland Rockers,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,17.0,15.0,32.0,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,Quicken Loans Arena
2,CLE,CLE,EA,1.0,Y,L,N,N,Cleveland Rockers,763.0,1770.0,372.0,505.0,106.0,335.0,297.0,662.0,959.0,503.0,532.0,267.0,444.0,83.0,2004.0,664.0,1745.0,328.0,444.0,132.0,417.0,297.0,594.0,891.0,434.0,597.0,225.0,496.0,127.0,1788.0,22.0,10.0,32.0,14.0,2.0,8.0,8.0,15.0,6.0,6425.0,147373.0,Quicken Loans Arena
3,CLE,CLE,EA,7.0,N,N,N,N,Cleveland Rockers,760.0,1820.0,430.0,553.0,121.0,374.0,295.0,674.0,969.0,480.0,567.0,221.0,451.0,83.0,2071.0,797.0,1834.0,397.0,521.0,149.0,441.0,278.0,640.0,918.0,530.0,613.0,242.0,428.0,109.0,2140.0,10.0,22.0,32.0,4.0,12.0,6.0,10.0,7.0,14.0,6550.0,149084.0,Quicken Loans Arena
4,CLE,CLE,EA,4.0,Y,L,N,N,Cleveland Rockers,815.0,1975.0,464.0,643.0,135.0,425.0,349.0,720.0,1069.0,517.0,639.0,226.0,466.0,86.0,2229.0,809.0,1927.0,465.0,607.0,127.0,355.0,300.0,704.0,1004.0,510.0,659.0,223.0,467.0,135.0,2210.0,17.0,17.0,34.0,11.0,6.0,6.0,11.0,13.0,11.0,6825.0,125793.0,Quicken Loans Arena
4,CON,CON,EA,3.0,Y,W,L,N,Connecticut Sun,864.0,2102.0,479.0,646.0,177.0,549.0,333.0,762.0,1095.0,520.0,663.0,270.0,434.0,111.0,2384.0,864.0,2104.0,509.0,673.0,172.0,536.0,366.0,812.0,1178.0,553.0,669.0,252.0,476.0,88.0,2409.0,18.0,16.0,34.0,10.0,7.0,8.0,9.0,11.0,13.0,6875.0,102433.0,Mohegan Sun Arena
5,CON,CON,EA,1.0,Y,W,W,L,Connecticut Sun,876.0,2051.0,434.0,590.0,149.0,467.0,321.0,724.0,1045.0,572.0,610.0,299.0,462.0,96.0,2335.0,858.0,1996.0,443.0,599.0,145.0,384.0,306.0,757.0,1063.0,565.0,627.0,239.0,492.0,113.0,2304.0,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,6900.0,114017.0,Mohegan Sun Arena
6,CON,CON,EA,1.0,Y,W,W,W,Connecticut Sun,916.0,2025.0,512.0,688.0,130.0,373.0,322.0,788.0,1110.0,573.0,624.0,236.0,452.0,130.0,2474.0,835.0,2100.0,452.0,599.0,122.0,400.0,350.0,728.0,1078.0,495.0,675.0,258.0,442.0,79.0,2244.0,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,6800.0,121944.0,Mohegan Sun Arena
7,CON,CON,EA,1.0,Y,W,L,N,Connecticut Sun,982.0,2216.0,545.0,675.0,174.0,510.0,342.0,926.0,1268.0,630.0,530.0,252.0,514.0,153.0,2683.0,948.0,2357.0,358.0,500.0,163.0,508.0,370.0,783.0,1153.0,528.0,646.0,273.0,486.0,103.0,2417.0,26.0,8.0,34.0,14.0,3.0,12.0,5.0,15.0,5.0,6825.0,126096.0,Mohegan Sun Arena
8,CON,CON,EA,3.0,Y,L,N,N,Connecticut Sun,1001.0,2327.0,478.0,615.0,195.0,572.0,354.0,868.0,1222.0,619.0,641.0,272.0,540.0,156.0,2675.0,976.0,2317.0,475.0,626.0,166.0,485.0,337.0,842.0,1179.0,581.0,633.0,246.0,524.0,85.0,2593.0,18.0,16.0,34.0,8.0,9.0,10.0,7.0,10.0,10.0,6925.0,135490.0,Mohegan Sun Arena
9,CON,CON,EA,2.0,Y,L,N,N,Connecticut Sun,965.0,2286.0,539.0,723.0,221.0,669.0,370.0,869.0,1239.0,607.0,629.0,211.0,487.0,97.0,2690.0,955.0,2284.0,472.0,638.0,159.0,496.0,360.0,840.0,1200.0,554.0,703.0,252.0,499.0,104.0,2541.0,21.0,13.0,34.0,13.0,4.0,8.0,9.0,13.0,7.0,6850.0,129951.0,Mohegan Sun Arena
10,CON,CON,EA,6.0,N,N,N,N,Connecticut Sun,966.0,2381.0,517.0,692.0,202.0,639.0,358.0,826.0,1184.0,608.0,677.0,250.0,453.0,130.0,2651.0,953.0,2236.0,591.0,746.0,157.0,488.0,329.0,945.0,1274.0,525.0,684.0,248.0,549.0,125.0,2654.0,16.0,18.0,34.0,12.0,5.0,4.0,13.0,10.0,12.0,6975.0,115496.0,Mohegan Sun Arena
1,DET,DET,EA,5.0,N,N,N,N,Detroit Shock,868.0,1980.0,519.0,699.0,76.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,2331.0,905.0,1967.0,480.0,652.0,136.0,372.0,331.0,640.0,971.0,513.0,672.0,284.0,543.0,148.0,2426.0,14.0,18.0,32.0,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,107289.0,The Palace of Auburn Hills
2,DET,DET,EA,7.0,N,N,N,N,Detroit Shock,774.0,1914.0,412.0,542.0,143.0,405.0,324.0,621.0,945.0,469.0,602.0,225.0,498.0,82.0,2103.0,848.0,1837.0,446.0,583.0,127.0,340.0,279.0,702.0,981.0,438.0,591.0,262.0,483.0,109.0,2269.0,10.0,22.0,32.0,6.0,10.0,4.0,12.0,7.0,14.0,6550.0,109348.0,The Palace of Auburn Hills
3,DET,DET,EA,8.0,N,N,N,N,Detroit Shock,766.0,1919.0,472.0,651.0,110.0,364.0,360.0,719.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,314.0,669.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,94171.0,The Palace of Auburn Hills
4,DET,DET,EA,1.0,Y,W,W,W,Detroit Shock,902.0,2004.0,624.0,882.0,125.0,323.0,379.0,851.0,1230.0,545.0,605.0,263.0,608.0,158.0,2553.0,911.0,2286.0,412.0,556.0,161.0,541.0,390.0,674.0,1064.0,504.0,774.0,309.0,497.0,129.0,2395.0,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6900.0,133647.0,The Palace of Auburn Hills
5,DET,DET,EA,3.0,Y,L,N,N,Detroit Shock,874.0,2097.0,556.0,792.0,62.0,209.0,397.0,773.0,1170.0,564.0,648.0,277.0,513.0,148.0,2366.0,860.0,2098.0,470.0,609.0,191.0,533.0,325.0,730.0,1055.0,515.0,728.0,289.0,496.0,131.0,2381.0,17.0,17.0,34.0,8.0,9.0,9.0,8.0,11.0,9.0,6850.0,160860.0,The Palace of Auburn Hills
6,DET,DET,EA,4.0,Y,L,N,N,Detroit Shock,831.0,2060.0,509.0,774.0,76.0,238.0,412.0,803.0,1215.0,474.0,761.0,241.0,571.0,155.0,2247.0,784.0,1945.0,565.0,754.0,154.0,456.0,273.0,745.0,1018.0,473.0,744.0,272.0,520.0,136.0,2287.0,16.0,18.0,34.0,12.0,5.0,4.0,13.0,11.0,9.0,6925.0,159356.0,The Palace of Auburn Hills
7,DET,DET,EA,2.0,Y,W,W,W,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills
8,DET,DET,EA,1.0,Y,W,W,L,Detroit Shock,972.0,2261.0,595.0,785.0,158.0,442.0,380.0,931.0,1311.0,563.0,702.0,227.0,564.0,117.0,2697.0,895.0,2262.0,547.0,718.0,203.0,610.0,309.0,780.0,1089.0,546.0,767.0,276.0,529.0,117.0,2540.0,24.0,10.0,34.0,12.0,5.0,12.0,5.0,14.0,6.0,6850.0,165738.0,The Palace of Auburn Hills
9,DET,DET,EA,1.0,Y,W,W,W,Detroit Shock,974.0,2295.0,556.0,744.0,168.0,476.0,405.0,843.0,1248.0,604.0,724.0,278.0,496.0,118.0,2672.0,872.0,2151.0,563.0,740.0,215.0,616.0,324.0,761.0,1085.0,520.0,762.0,229.0,572.0,119.0,2522.0,22.0,12.0,34.0,14.0,3.0,8.0,9.0,16.0,4.0,6875.0,162669.0,The Palace of Auburn Hills
10,DET,DET,EA,3.0,Y,W,L,N,Detroit Shock,980.0,2277.0,539.0,721.0,153.0,436.0,373.0,853.0,1226.0,575.0,766.0,261.0,546.0,97.0,2652.0,902.0,2201.0,632.0,813.0,208.0,611.0,320.0,781.0,1101.0,524.0,716.0,279.0,531.0,110.0,2644.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,136069.0,The Palace of Auburn Hills
1,IND,IND,EA,7.0,N,N,N,N,Indiana Fever,796.0,1838.0,428.0,569.0,193.0,521.0,285.0,647.0,932.0,501.0,642.0,271.0,518.0,126.0,2213.0,839.0,1868.0,503.0,669.0,109.0,358.0,321.0,633.0,954.0,528.0,612.0,267.0,476.0,75.0,2290.0,9.0,23.0,32.0,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,180270.0,Conseco Fieldhouse
2,IND,IND,EA,6.0,N,N,N,N,Indiana Fever,762.0,1822.0,472.0,591.0,157.0,446.0,286.0,649.0,935.0,458.0,600.0,242.0,491.0,118.0,2153.0,853.0,1899.0,412.0,583.0,131.0,367.0,306.0,660.0,966.0,565.0,616.0,256.0,466.0,140.0,2249.0,10.0,22.0,32.0,7.0,9.0,3.0,13.0,7.0,14.0,6475.0,138922.0,Conseco Fieldhouse
3,IND,IND,EA,4.0,Y,L,N,N,Indiana Fever,731.0,1825.0,455.0,580.0,180.0,543.0,315.0,633.0,948.0,447.0,559.0,268.0,438.0,100.0,2097.0,804.0,1817.0,359.0,503.0,162.0,464.0,288.0,644.0,932.0,507.0,647.0,226.0,470.0,145.0,2129.0,16.0,16.0,32.0,10.0,6.0,6.0,10.0,12.0,9.0,6425.0,134945.0,Conseco Fieldhouse
