year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,436.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center
3,HOU,HOU,WE,2.0,Y,L,N,N,Houston Comets,755.0,1778.0,453.0,585.0,109.0,332.0,299.0,702.0,1001.0,450.0,467.0,260.0,455.0,126.0,2072.0,705.0,1880.0,331.0,452.0,151.0,489.0,309.0,664.0,973.0,446.0,606.0,262.0,464.0,71.0,1892.0,24.0,8.0,32.0,14.0,2.0,10.0,6.0,16.0,5.0,6425.0,188648.0,Compaq Center
4,HOU,HOU,WE,2.0,Y,L,N,N,Houston Comets,828.0,1916.0,473.0,600.0,115.0,344.0,266.0,764.0,1030.0,465.0,490.0,231.0,450.0,129.0,2244.0,824.0,2030.0,325.0,448.0,169.0,500.0,298.0,708.0,1006.0,516.0,634.0,227.0,430.0,122.0,2142.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,14.0,10.0,6825.0,150203.0,Compaq Center
5,HOU,HOU,WE,6.0,N,N,N,N,Houston Comets,798.0,1933.0,458.0,615.0,123.0,358.0,311.0,724.0,1035.0,451.0,555.0,242.0,484.0,107.0,2177.0,834.0,2008.0,391.0,531.0,152.0,434.0,335.0,720.0,1055.0,539.0,655.0,258.0,471.0,129.0,2211.0,13.0,21.0,34.0,9.0,8.0,4.0,13.0,7.0,15.0,6850.0,137455.0,Toyota Center
6,HOU,HOU,WE,3.0,Y,W,L,N,Houston Comets,860.0,1920.0,527.0,690.0,62.0,205.0,276.0,684.0,960.0,467.0,581.0,246.0,425.0,105.0,2309.0,848.0,1944.0,419.0,559.0,148.0,423.0,274.0,687.0,961.0,541.0,685.0,197.0,481.0,111.0,2263.0,19.0,15.0,34.0,11.0,6.0,8.0,9.0,11.0,11.0,6875.0,120676.0,Toyota Center
7,HOU,HOU,WE,3.0,Y,L,N,N,Houston Comets,928.0,2098.0,482.0,678.0,169.0,472.0,303.0,822.0,1125.0,532.0,617.0,252.0,566.0,84.0,2507.0,928.0,2232.0,445.0,615.0,148.0,496.0,337.0,787.0,1124.0,526.0,705.0,298.0,519.0,89.0,2449.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,11.0,9.0,6925.0,130586.0,Toyota Center
8,HOU,HOU,WE,5.0,N,N,N,N,Houston Comets,915.0,2149.0,554.0,721.0,126.0,365.0,374.0,770.0,1144.0,558.0,655.0,289.0,633.0,109.0,2510.0,924.0,2190.0,578.0,719.0,202.0,581.0,342.0,721.0,1063.0,588.0,677.0,310.0,568.0,160.0,2628.0,13.0,21.0,34.0,7.0,10.0,6.0,11.0,10.0,12.0,6800.0,138816.0,Toyota Center
9,HOU,HOU,WE,5.0,N,N,N,N,Houston Comets,923.0,2213.0,563.0,736.0,152.0,481.0,376.0,803.0,1179.0,556.0,728.0,295.0,599.0,120.0,2561.0,903.0,2186.0,582.0,781.0,218.0,580.0,349.0,743.0,1092.0,542.0,744.0,313.0,555.0,165.0,2606.0,17.0,17.0,34.0,13.0,4.0,4.0,13.0,10.0,10.0,6925.0,111951.0,Toyota Center
1,LAS,LAS,WE,1.0,Y,W,L,N,Los Angeles Sparks,861.0,1956.0,545.0,693.0,150.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,2417.0,776.0,1963.0,495.0,692.0,122.0,413.0,300.0,678.0,978.0,445.0,650.0,243.0,485.0,105.0,2169.0,28.0,4.0,32.0,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,Staples Center
2,LAS,LAS,WE,1.0,Y,W,W,W,Los Angeles Sparks,916.0,2031.0,449.0,594.0,160.0,436.0,350.0,755.0,1105.0,596.0,616.0,281.0,438.0,138.0,2441.0,779.0,1985.0,416.0,547.0,192.0,603.0,294.0,627.0,921.0,538.0,591.0,234.0,453.0,114.0,2166.0,28.0,4.0,32.0,16.0,0.0,12.0,4.0,19.0,2.0,6475.0,148446.0,Staples Center
3,LAS,LAS,WE,1.0,Y,W,W,W,Los Angeles Sparks,891.0,2002.0,476.0,645.0,194.0,515.0,329.0,814.0,1143.0,583.0,664.0,257.0,517.0,161.0,2452.0,796.0,2040.0,480.0,649.0,163.0,521.0,314.0,645.0,959.0,508.0,623.0,275.0,453.0,111.0,2235.0,25.0,7.0,32.0,12.0,4.0,13.0,3.0,17.0,4.0,6475.0,186410.0,Staples Center
4,LAS,LAS,WE,1.0,Y,W,W,L,Los Angeles Sparks,894.0,2140.0,537.0,678.0,174.0,528.0,336.0,813.0,1149.0,587.0,682.0,242.0,470.0,161.0,2499.0,866.0,2147.0,504.0,702.0,196.0,540.0,316.0,789.0,1105.0,572.0,654.0,241.0,468.0,127.0,2432.0,24.0,10.0,34.0,11.0,6.0,13.0,4.0,17.0,7.0,6900.0,157934.0,Staples Center
5,LAS,LAS,WE,1.0,Y,L,N,N,Los Angeles Sparks,904.0,2069.0,530.0,722.0,157.0,414.0,312.0,809.0,1121.0,626.0,731.0,262.0,529.0,148.0,2495.0,815.0,2095.0,557.0,761.0,174.0,511.0,339.0,727.0,1066.0,532.0,704.0,288.0,523.0,114.0,2361.0,25.0,9.0,34.0,15.0,2.0,10.0,7.0,16.0,6.0,6975.0,177269.0,Staples Center
