bioID,height,weight,birthDate
abrahta01w,74.0,190,1975-09-27
abrossv01w,74.0,169,1980-07-09
adairje01w,76.0,197,1986-12-19
adamsda01w,73.0,239,1989-02-19
adamsjo01w,75.0,180,1981-05-24
aguilel01w,67.0,165,1976-10-15
ajavoma01w,68.0,160,1986-05-07
aldrima01w,71.0,153,1973-09-15
alexaer01w,67.0,140,1975-04-25
alhalta01w,72.0,149,1974-10-17
allench01w,71.0,135,1986-07-23
amachma01w,73.0,175,1978-01-30
ambermo01w,76.0,169,1970-12-21
anderam01w,72.0,167,1984-03-14
anderch01w,78.0,190,1981-01-22
anderjo01w,68.0,166,1986-07-22
anderke01w,67.0,125,1974-05-17
andrame01w,71.0,165,1975-12-31
angelyv01w,68.0,160,1963-10-14
anosini01w,75.0,211,1986-02-27
appelja01w,76.0,210,1988-05-14
arcaija01w,71.0,147,1969-04-11
artiska01w,73.0,155,1973-07-09
askamma01w,77.0,198,1970-08-07
atkinla01w,72.0,172,1984-03-22
atunrmo01w,70.0,143,1986-04-14
augusse01w,72.0,179,1984-04-30
aycocan01w,74.0,172,1973-02-28
azizle01w,75.0,177,1979-02-28
azzije01w,68.0,143,1968-08-31
badertr01w,64.0,125,1973-02-26
bakerla01w,67.0,140,1968-12-18
bakersh01w,68.0,125,1982-12-03
balesal01w,79.0,218,1985-04-04
banchrh01w,75.0,185,1973-05-01
baranel01w,77.0,182,1972-01-28
barksla01w,70.0,156,1979-10-03
barnead01w,71.0,165,1977-02-03
barnequ01w,77.0,185,1976-09-26
bassmi01w,75.0,184,1983-12-02
batkosu01w,76.0,203,1980-12-17
batteja01w,73.0,163,1983-03-26
battlas01w,72.0,170,1982-05-31
bauerca01w,76.0,180,1972-06-27
beardal01w,71.0,160,1982-05-14
becenry01w,66.0,140,1971-08-11
beckki01w,68.0,125,1985-12-27
bellje01w,73.0,160,1970-05-26
bennije01w,75.0,185,1981-10-06
berggas01w,70.0,170,1976-11-18
berrysh01w,75.0,175,1967-07-06
berthlu01w,74.0,188,1978-03-31
berubca01w,72.0,155,1975-09-02
beviltu01w,67.0,145,1972-07-19
bibbyje01w,67.0,139,1979-08-23
