year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_x,lost_x,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,playerID,stint_x,GP_y,GS,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,birthDate,award_x,coachID,stint_y,won_y,lost_y,post_wins,post_losses,award_y
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,balesal01w,2,17.0,9.0,389.0,82.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,218.0,1985-04-04,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,castriz01w,0,29.0,20.0,671.0,269.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,140.0,1982-03-13,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,desouer01w,0,12.0,8.0,277.0,112.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,190.0,1982-03-03,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,haynikr01w,0,33.0,3.0,486.0,94.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,147.0,1983-06-17,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,lacyje01w,0,33.0,22.0,605.0,189.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,175.0,1983-03-21,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,lattaiv01w,0,34.0,31.0,960.0,388.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,143.0,1984-09-24,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,lennobe01w,0,34.0,33.0,1010.0,595.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,143.0,1976-12-04,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,littlca01w,1,13.0,2.0,221.0,62.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,180.0,1985-01-18,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,lovelst01w,1,15.0,7.0,258.0,91.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,170.0,1974-12-05,,meadoma99w,0,4.0,30.0,0.0,0.0,
9,ATL,ATL,EA,7.0,N,N,N,N,Atlanta Dream,818.0,2114.0,476.0,637.0,202.0,598.0,297.0,650.0,947.0,482.0,796.0,282.0,499.0,115.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,mannkr01w,1,13.0,8.0,223.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,185.0,1983-08-10,,meadoma99w,0,4.0,30.0,0.0,0.0,
