year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_x,lost_x,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,playerID,stint_x,GP_y,GS,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,birthDate,award_x,coachID,stint_y,won_y,lost_y,post_wins,post_losses,award_y
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,arcaija01w,0,32.0,32.0,977.0,268.0,66.0,1.0,6.0,6.0,201.0,50.0,6.0,21.0,27.0,12.0,10.0,0.0,16.0,14.0,47.0,21.0,7.0,6.0,7.0,2.0,0.0,71.0,147.0,1969-04-11,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,coopecy01w,0,31.0,31.0,1085.0,550.0,61.0,0.0,6.0,6.0,228.0,136.0,5.0,10.0,15.0,22.0,9.0,1.0,18.0,11.0,119.0,45.0,39.0,35.0,32.0,11.0,0.0,70.0,150.0,1963-04-14,WNBA Finals Most Valuable Player,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,gibsoke01w,0,17.0,0.0,76.0,24.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,136.0,1976-11-10,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,jacksta01w,0,29.0,1.0,339.0,76.0,62.0,0.0,6.0,0.0,94.0,16.0,9.0,8.0,17.0,0.0,4.0,4.0,2.0,9.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,75.0,179.0,1962-12-03,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,johnsti01w,0,31.0,29.0,687.0,131.0,86.0,1.0,6.0,6.0,135.0,22.0,12.0,17.0,29.0,1.0,3.0,2.0,7.0,15.0,20.0,10.0,2.0,2.0,0.0,0.0,0.0,76.0,240.0,1975-12-27,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,lambmo01w,0,13.0,2.0,140.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,206.0,1964-10-11,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,rizzoje01w,0,32.0,2.0,437.0,60.0,38.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,146.0,1974-05-15,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,shakiel01w,0,14.0,0.0,150.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,190.0,1970-06-02,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,swoopsh01w,0,31.0,31.0,1090.0,643.0,67.0,0.0,6.0,6.0,220.0,113.0,9.0,25.0,34.0,19.0,17.0,0.0,12.0,11.0,87.0,41.0,29.0,23.0,17.0,8.0,0.0,72.0,145.0,1971-03-25,Defensive Player of the Year,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,swoopsh01w,0,31.0,31.0,1090.0,643.0,67.0,0.0,6.0,6.0,220.0,113.0,9.0,25.0,34.0,19.0,17.0,0.0,12.0,11.0,87.0,41.0,29.0,23.0,17.0,8.0,0.0,72.0,145.0,1971-03-25,Most Valuable Player,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,thompti01w,0,32.0,32.0,1087.0,540.0,88.0,0.0,6.0,6.0,233.0,76.0,17.0,31.0,48.0,10.0,5.0,5.0,10.0,19.0,62.0,25.0,18.0,17.0,23.0,9.0,0.0,74.0,178.0,1975-02-10,All-Star Game Most Valuable Player,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,valdeam01w,0,22.0,0.0,171.0,57.0,21.0,0.0,3.0,0.0,16.0,9.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,3.0,1.0,0.0,73.0,160.0,1976-08-18,,chancva99w,0,27.0,5.0,6.0,0.0,
1,HOU,HOU,WE,2.0,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,432.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,27.0,5.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,washico01w,0,25.0,0.0,236.0,43.0,19.0,0.0,6.0,0.0,92.0,14.0,4.0,7.0,11.0,6.0,5.0,1.0,8.0,4.0,9.0,3.0,6.0,5.0,7.0,3.0,0.0,66.0,138.0,1971-01-17,,chancva99w,0,27.0,5.0,6.0,0.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,arcaija01w,0,32.0,32.0,1154.0,591.0,82.0,1.0,2.0,2.0,71.0,29.0,2.0,9.0,11.0,5.0,2.0,0.0,5.0,5.0,34.0,13.0,2.0,2.0,8.0,1.0,0.0,71.0,147.0,1969-04-11,Most Improved Player,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,gibsoke01w,0,28.0,6.0,288.0,44.0,20.0,0.0,2.0,2.0,23.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,7.0,3.0,0.0,0.0,3.0,1.0,0.0,70.0,136.0,1976-11-10,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,hendene01w,0,23.0,0.0,179.0,26.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,144.0,1973-02-28,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,jacksta01w,0,32.0,4.0,442.0,104.0,53.0,0.0,1.0,0.0,15.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,6.0,4.0,1.0,0.0,0.0,75.0,179.0,1962-12-03,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,johnsti01w,0,32.0,28.0,672.0,148.0,67.0,0.0,2.0,2.0,71.0,18.0,4.0,13.0,17.0,3.0,0.0,3.0,4.0,5.0,17.0,7.0,7.0,4.0,0.0,0.0,0.0,76.0,240.0,1975-12-27,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,lassiam01w,0,32.0,18.0,613.0,138.0,66.0,0.0,2.0,0.0,54.0,19.0,1.0,8.0,9.0,0.0,0.0,3.0,2.0,4.0,16.0,7.0,2.0,2.0,9.0,3.0,0.0,73.0,160.0,1979-06-09,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,lewisty01w,0,29.0,4.0,419.0,97.0,26.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,152.0,1979-05-08,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,shakiel01w,0,26.0,2.0,203.0,38.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,190.0,1970-06-02,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,stafftr01w,0,30.0,4.0,365.0,113.0,42.0,0.0,2.0,0.0,16.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,73.0,180.0,1970-11-11,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,thompti01w,0,30.0,30.0,1102.0,579.0,74.0,0.0,2.0,2.0,68.0,29.0,4.0,8.0,12.0,7.0,1.0,0.0,10.0,5.0,20.0,11.0,5.0,4.0,5.0,3.0,0.0,74.0,178.0,1975-02-10,,chancva99w,0,19.0,13.0,0.0,2.0,
2,HOU,HOU,WE,4.0,Y,L,N,N,Houston Comets,747.0,1908.0,415.0,539.0,138.0,435.0,348.0,710.0,1058.0,426.0,509.0,251.0,425.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,297.0,685.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,19.0,13.0,32.0,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,181115.0,Compaq Center,washico01w,0,32.0,32.0,1013.0,169.0,63.0,1.0,2.0,2.0,74.0,7.0,2.0,7.0,9.0,5.0,2.0,0.0,2.0,5.0,17.0,3.0,0.0,0.0,10.0,1.0,0.0,66.0,138.0,1971-01-17,,chancva99w,0,19.0,13.0,0.0,2.0,
