year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP_x,playerID,stint_x,GP_y,GS,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,birthDate,deathDate,award,coachID,stint_y,won_y,lost_y,post_wins,post_losses,winrate
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,balesal01w,2,17,9,389,82,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,218,1985-04-04,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,castriz01w,0,29,20,671,269,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,140,1982-03-13,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,desouer01w,0,12,8,277,112,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,190,1982-03-03,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,haynikr01w,0,33,3,486,94,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,147,1983-06-17,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,lacyje01w,0,33,22,605,189,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,175,1983-03-21,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,lattaiv01w,0,34,31,960,388,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,143,1984-09-24,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,lennobe01w,0,34,33,1010,595,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,143,1976-12-04,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,littlca01w,1,13,2,221,62,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,180,1985-01-18,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,lovelst01w,1,15,7,258,91,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,170,1974-12-05,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,mannkr01w,1,13,8,223,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,185,1983-08-10,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,818,2114,476,637,202,598,297,650,947,482,796,282,499,115,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,34,nnamach01w,0,12,0,84,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,156,1985-06-15,0000-00-00,,meadoma99w,0,4,30,0,0,11.76470588235294
